3.02,-6.56,3.01,67.60, ,5.00,1.56,5.00,-15.60, ,4.86,4.84,4.86,48.40
3.01,-6.48,3.00,65.60, ,5.00,1.60,5.00,-16.00, ,4.86,4.76,4.86,48.00
3.00,-6.68,2.99,66.80, ,5.00,1.56,5.00,-15.60, ,4.86,4.76,4.86,48.00
2.99,-6.72,2.99,67.20, ,4.98,1.48,4.99,-14.80, ,4.86,4.80,4.86,48.00
2.99,-6.84,2.99,69.20, ,4.98,1.44,4.99,-14.40, ,4.86,4.84,4.86,48.40
2.98,-6.96,2.98,69.60, ,4.98,1.40,4.98,-14.00, ,4.86,4.80,4.86,48.00
2.98,-6.96,2.97,70.40, ,4.98,1.40,4.98,-14.00, ,4.86,4.84,4.86,48.80
2.97,-7.00,2.96,70.00, ,4.97,1.36,4.97,-13.60, ,4.86,4.84,4.86,48.80
2.97,-7.04,2.96,71.20, ,4.97,1.36,4.97,-13.60, ,4.86,4.84,4.86,48.40
2.96,-7.12,2.95,71.20, ,4.96,1.28,4.96,-12.80, ,4.86,4.84,4.86,48.40
2.95,-7.32,2.94,73.20, ,4.95,1.24,4.95,-12.40, ,4.86,4.80,4.86,48.40
2.94,-7.36,2.94,73.60, ,4.94,1.20,4.95,-12.00, ,4.86,4.84,4.86,48.80
2.94,-7.28,2.93,73.60, ,4.94,1.20,4.95,-12.00, ,4.86,4.84,4.86,48.40
2.94,-7.24,2.93,73.20, ,4.95,1.24,4.95,-12.40, ,4.86,4.84,4.86,48.40
2.93,-7.20,2.92,72.00, ,4.96,1.28,4.96,-12.80, ,4.86,4.84,4.86,49.20
2.92,-7.32,2.91,73.20, ,4.96,1.32,4.96,-13.20, ,4.86,4.84,4.86,48.80
2.91,-7.28,2.90,73.60, ,4.95,1.28,4.95,-12.80, ,4.86,4.88,4.86,49.20
2.90,-7.44,2.90,74.40, ,4.95,1.24,4.95,-12.40, ,4.86,4.88,4.86,48.80
2.90,-7.48,2.89,74.80, ,4.95,1.24,4.95,-12.40, ,4.86,4.84,4.86,48.80
2.89,-7.48,2.88,74.80, ,4.95,1.24,4.95,-12.40, ,4.86,4.84,4.86,48.80
2.88,-7.52,2.87,75.20, ,4.94,1.20,4.95,-12.00, ,4.86,4.80,4.86,48.00
2.87,-7.56,2.86,75.60, ,4.94,1.16,4.94,-11.60, ,4.86,4.84,4.86,48.40
2.86,-7.68,2.85,76.80, ,4.93,1.12,4.93,-11.20, ,4.86,4.84,4.86,48.80
2.85,-7.80,2.84,78.00, ,4.92,1.04,4.92,-10.40, ,4.86,4.84,4.86,48.40
2.83,-7.84,2.82,78.40, ,4.91,1.00,4.91,-10.00, ,4.86,4.80,4.86,48.00
2.82,-7.84,2.82,78.40, ,4.90,1.00,4.91,-10.00, ,4.86,4.88,4.86,48.80
2.81,-7.88,2.80,79.60, ,4.91,1.00,4.91,-10.00, ,4.86,4.88,4.86,48.80
2.79,-8.00,2.78,80.00, ,4.92,1.04,4.92,-10.40, ,4.86,4.84,4.86,48.80
2.78,-7.92,2.77,79.20, ,4.93,1.08,4.93,-10.80, ,4.86,4.80,4.86,48.00
2.76,-7.84,2.75,78.40, ,4.94,1.12,4.94,-11.20, ,4.85,5.04,4.85,50.40
2.74,-8.20,2.73,82.00, ,4.94,1.16,4.95,-11.60, ,4.86,4.92,4.86,49.60
2.78,-7.44,2.78,74.40, ,4.96,1.32,4.96,-13.20, ,4.85,4.76,4.85,48.00
2.75,-7.44,2.74,75.20, ,4.97,1.36,4.97,-13.60, ,4.85,4.80,4.85,48.00
2.76,-7.60,2.75,76.00, ,4.94,1.24,4.95,-12.40, ,4.85,4.76,4.85,48.00
2.73,-7.92,2.72,79.20, ,4.95,1.20,4.95,-12.00, ,4.85,4.80,4.85,48.00
2.73,-7.72,2.72,77.20, ,4.97,1.36,4.97,-13.60, ,4.85,4.76,4.85,47.60
2.73,-7.76,2.72,77.60, ,4.97,1.36,4.97,-13.60, ,4.85,4.88,4.85,49.20
2.74,-7.80,2.73,79.20, ,4.94,1.24,4.95,-12.40, ,4.85,4.76,4.85,47.60
2.72,-7.72,2.71,77.20, ,4.93,1.32,4.93,-13.20, ,4.82,4.76,4.83,47.60
2.71,-7.48,2.70,74.80, ,4.94,1.56,4.95,-15.60, ,4.82,4.88,4.82,48.80
2.71,-7.52,2.70,75.20, ,4.94,1.48,4.94,-14.80, ,4.82,4.80,4.82,48.00
